2022-08-26 16:48:59 WARNING issue with unit arrangement formula:LiPt2Y calc_id:--YrN94eYny5kMEnm07p-Otv9O0u prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:49:01 WARNING issue with unit arrangement formula:LaNi2Sn calc_id:-1EGnZBbzyxiFQsaa4wE798Bv0Cq prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:49:03 WARNING issue with unit arrangement formula:MgPtTc calc_id:-1F8MS8VdEQ2BXzQQ1zNFdPubPfW prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:49:05 WARNING issue with unit arrangement formula:NiRu2Sb calc_id:-4031-i92pMQUKC4ih0Qrn-jKEhv prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:49:07 WARNING issue with unit arrangement formula:Os2RhTa calc_id:-46PIVdxQfOMUhF74Xf74xKrC60_ prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:49:09 WARNING issue with unit arrangement formula:IrSn2Sr calc_id:-4AymXrZM7Yxo2rrVLvGd6Rc1DIj prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:49:12 WARNING issue with unit arrangement formula:PRhZn2 calc_id:-5NA2QanSRrR2B2v3rXe9UpqS4Mc prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:49:14 WARNING issue with unit arrangement formula:NaNb2W calc_id:-6t3lIZQgKJAlMEKOoLD2JuEXEQz prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:49:16 WARNING issue with unit arrangement formula:NiSrW calc_id:-73JUA3NYjKlnAXEHuJELrhC0FiH prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:49:18 WARNING issue with unit arrangement formula:Mo2NiRh calc_id:-75a9fJOGxWRUGpjuZTuS6ef1IgB prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:49:26 WARNING issue with unit arrangement formula:PPd2Sb calc_id:-7yImpX_H18RHZfspYgPwQYemK_r prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:49:28 WARNING issue with unit arrangement formula:Mn2SrTa calc_id:-8TS1RROVbXJjTT7D1wUUHPAEUnZ prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:49:30 WARNING issue with unit arrangement formula:K2LiNa calc_id:-9d9EmIahLp2OhJZ1inqPmsqNS_X prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:49:32 WARNING issue with unit arrangement formula:IrSrV2 calc_id:-9lK1efcmkwx9AnZ6-I_XAgL_D_Q prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:49:35 WARNING issue with unit arrangement formula:Nb2TaTi calc_id:-A4pgzO6MUHXdBfvjU1ptKLHzdl8 prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:49:37 WARNING issue with unit arrangement formula:Se2WZr calc_id:-DGJ3suIWpNdrst_1HLLDBLz3nB3 prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:49:39 WARNING issue with unit arrangement formula:SeTa2Zr calc_id:-DxP92A2gW7HOr2zYbygSVt4SSpe prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:49:41 WARNING issue with unit arrangement formula:Ni2SrTe calc_id:-Ex5yRauo2e8ODjmZqdA77pInpXC prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:49:43 WARNING issue with unit arrangement formula:NaPdW2 calc_id:-GaDGL01cXJTNE1MjOiVanvYk-SB prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:49:45 WARNING issue with unit arrangement formula:Ni2PtSr calc_id:-GzkY9-tqUhDHoogNOAl3FWQJ4bs prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:49:53 WARNING issue with unit arrangement formula:MgNb2Rh calc_id:-H7EIlKE6bSWtas7iVpececPb2ac prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-08-26 16:49:55 WARNING issue with unit arrangement formula:OsPt2Ti calc_id:-IDQ1JYsYMd3aOtZRC-Mvkk9wGt1 prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
